,program,(,),;,.,function,:,",",begin,token.identifier,end,return,integer,boolean,<,=,or,+,-,and,*,/,if,then,else,not,token.integer_token,token.boolean_token,print
PROGRAM,program token.identifier ( <FORMALS> ) ; <DEFINITIONS> <BODY> .,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFINITIONS,,,,,,<DEF> <DEFINITIONS>,,,ε,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,function token.identifier ( <FORMALS> ) : <TYPE> <BODY> ;,,,,,,,,,,,,,,,,,,,,,,,
FORMALS,,,ε,,,,,,,<NONEMPTYFORMALS>,,,,,,,,,,,,,,,,,,,
NONEMPTYFORMALS,,,ε,,,,,,,<FORMAL> <NONEMPTYFORMALS'>,,,,,,,,,,,,,,,,,,,
NONEMPTYFORMALS',,,ε,,,,,", <NONEMPTYFORMALS> ",,,,,,,,,,,,,,,,,,,,,
FORMAL,,,,,,,,,,token.identifier make-id : <TYPE>,,,,,,,,,,,,,,,,,,,
BODY,,,,,,,,,begin <STATEMENT-LIST> end,,,,,,,,,,,,,,,,,,,,
STATEMENT-LIST,,,,,,,,,,,,return <EXPR>,,,,,,,,,,,,,,,,,<PRINT-STATEMENT> <STATEMENT-LIST> make-print
TYPE,,,,,,,,,,,,,integer,boolean,,,,,,,,,,,,,,,
EXPR,,<SIMPLE-EXPR> <EXPR'>,,,,,,,,<SIMPLE-EXPR> <EXPR'>,,,,,,,,,<SIMPLE-EXPR> <EXPR'>,,,,<SIMPLE-EXPR> <EXPR'>,,,<SIMPLE-EXPR> <EXPR'>,<SIMPLE-EXPR> <EXPR'>,<SIMPLE-EXPR> <EXPR'>,
EXPR',,,ε,,,,,ε,,,ε,,,,< <SIMPLE-EXPR> make-< <EXPR'>, = <SIMPLE-EXPR> make-= <EXPR'>,ε,ε,ε,ε,ε,ε,,ε,ε,,,,
SIMPLE-EXPR,,<TERM> <SIMPLE-EXPR'>,,,,,,,,<TERM> <SIMPLE-EXPR'>,,,,,,,,,<TERM> <SIMPLE-EXPR'>,,,,<TERM> <SIMPLE-EXPR'>,,,<TERM> <SIMPLE-EXPR'>,<TERM> <SIMPLE-EXPR'>,<TERM> <SIMPLE-EXPR'>,
SIMPLE-EXPR',,,ε,,,,,ε,,,ε,,,,ε,ε,or make-or <TERM> <SIMPLE-EXPR'> | ε,+ <TERM> make-+ <SIMPLE-EXPR'>,- <TERM> make- - <SIMPLE-EXPR'>,ε,ε,ε,,ε,ε,,,,
TERM,,<FACTOR> <TERM'>,,,,,,,,<FACTOR> <TERM'>,,,,,,,,,<FACTOR> <TERM'>,,,,<FACTOR> <TERM'>,,,<FACTOR> <TERM'>,<FACTOR> <TERM'>,<FACTOR> <TERM'>,
TERM',,,ε,,,,,ε,,,ε,,,,ε,ε,ε,ε,ε,and <FACTOR> make-and <TERM'>,* <FACTOR> make-* <TERM'>,/ <FACTOR> make-/ <TERM'>,,ε,ε,,,,
FACTOR,,( <EXPR> ),,,,,,,,token.identifier make-id <FACTOR'>,,,,,,,,,- <FACTOR> make-negate,,,,if <EXPR> then <EXPR> else <EXPR> make-if,,,not make-not <FACTOR>,<LITERAL> make-literal,<LITERAL> make-literal,
FACTOR',,( <ACTUALS> ),ε,,,,,ε,,,ε,,,,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε,,,,
ACTUALS,,<NONEMPTYACTUALS>,ε,,,,,,,<NONEMPTYACTUALS>,,,,,,,,,<NONEMPTYACTUALS>,,,,<NONEMPTYACTUALS>,,,<NONEMPTYACTUALS>,<NONEMPTYACTUALS>,<NONEMPTYACTUALS>,
NONEMPTYACTUALS,,<EXPR> <NONEMPTYACTUALS'>,,,,,,,,<EXPR> <NONEMPTYACTUALS'>,,,,,,,,,<EXPR> <NONEMPTYACTUALS'>,,,,<EXPR> <NONEMPTYACTUALS'>,,,<EXPR> <NONEMPTYACTUALS'>,<EXPR> <NONEMPTYACTUALS'>,<EXPR> <NONEMPTYACTUALS'>,
NONEMPTYACTUALS',,,ε,,,,,", <NONEMPTYACTUALS>",,,,,,,,,,,,,,,,,,,,,
LITERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,token.integer_token,token.boolean_token,
PRINT-STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,print ( <EXPR> ) ;
